Image,Component,Origin,License,Distributed by you?,Comments
scenescape-controller,libsuperlu6:amd64:6.0.1+dfsg1-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libsz2:amd64:1.1.2-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libtbb12:amd64:2021.11.0-2ubuntu2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libtbbbind-2-5:amd64:2021.11.0-2ubuntu2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libtbbmalloc2:amd64:2021.11.0-2ubuntu2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libtesseract5:amd64:5.3.4-1build5,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libtirpc3t64:amd64:1.3.4+ds-1.1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libwacom-common:2.10.0-2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libwacom9:amd64:2.10.0-2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,mesa-libgallium:amd64:24.2.8-1ubuntu1~24.04.1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,proj-data:9.4.0-1build2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,shared-mime-info:2.4-4,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-manager,libcurl4:amd64:7.81.0-1ubuntu1.20,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-manager,libipc-run-perl:20200505.0-1,,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-manager,libmd0:amd64:1.0.4-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-manager,libsasl2-2:amd64:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-manager,libsasl2-modules-db:amd64:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-manager,netcat:1.218-4ubuntu1,Ubuntu,BSD-3-Clause,Y,used
scenescape-manager,netcat-openbsd:1.218-4ubuntu1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-secrets,libcurl4:7.81.0-1ubuntu1.20,Ubuntu,BSD-3-Clause,N,indirect dependency automatically installed
scenescape-secrets,libsasl2-2:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,N,indirect dependency automatically installed
scenescape-secrets,libsasl2-modules:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,N,indirect dependency automatically installed
scenescape-secrets,libsasl2-modules-db:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,N,indirect dependency automatically installed
scenescape-camcalibration,click==8.2.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,comm==0.2.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,cycler==0.12.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,Flask==3.1.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,fsspec==2025.7.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,h5py==3.14.0,pypi,BSD-3-Clause,Y,imported
scenescape-camcalibration,idna==3.10,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,intel_extension_for_pytorch==2.7.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,ipython==8.37.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
